Settings,,default,no-redcost,default,no-redcost
,,Time,Time,Status,Status
ProblemName,Seed,,,,
neos-476283,6.0,151.83,176.97,ok,ok
neos-476283,7.0,207.72,258.37,ok,ok
neos-476283,8.0,221.72,241.71,ok,ok
neos-476283,9.0,186.81,271.76,ok,ok
neos-686190,0.0,125.31,152.24,ok,ok
neos-686190,1.0,167.81,214.14,ok,ok
neos-686190,2.0,89.72,151.92,ok,ok
neos-686190,3.0,475.51,1087.12,ok,ok
neos-686190,4.0,369.84,952.05,ok,ok
neos-686190,5.0,212.41,359.64,ok,ok
neos-686190,6.0,96.49,156.83,ok,ok
neos-686190,7.0,224.26,927.08,ok,ok
neos-686190,8.0,218.16,233.57,ok,ok
neos-686190,9.0,381.65,1944.81,ok,ok
neos-849702,0.0,711.97,741.08,ok,ok
neos-849702,1.0,273.55,269.44,ok,ok
neos-849702,2.0,203.65,195.66,ok,ok
neos-849702,3.0,247.96,253.47,ok,ok
neos-849702,4.0,147.87,144.99,ok,ok
neos-849702,5.0,2773.77,2732.72,ok,ok
neos-849702,6.0,388.78,402.76,ok,ok
neos-849702,7.0,344.2,324.17,ok,ok
neos-849702,8.0,720.37,541.8,ok,ok
neos-849702,9.0,153.25,144.04,ok,ok
neos-916792,0.0,418.74,390.97,ok,ok
neos-916792,1.0,3600.0,366.32,timelimit,ok
neos-916792,2.0,945.24,601.75,ok,ok
neos-916792,3.0,3600.0,788.68,timelimit,ok
neos-916792,4.0,916.44,410.02,ok,ok
neos-916792,5.0,3600.01,2881.26,timelimit,ok
neos-916792,6.0,2156.88,757.92,ok,ok
neos-916792,7.0,3600.0,3600.0,timelimit,timelimit
neos-916792,8.0,3600.0,3600.0,timelimit,timelimit
neos-916792,9.0,3600.0,3600.0,timelimit,timelimit
neos-934278,0.0,3600.0,3600.01,timelimit,timelimit
neos-934278,1.0,3600.01,3600.01,timelimit,timelimit
neos-934278,2.0,3600.01,3600.01,timelimit,timelimit
neos-934278,3.0,3600.0,3600.01,timelimit,timelimit
neos-934278,4.0,3600.01,3600.0,timelimit,timelimit
neos-934278,5.0,3600.01,3600.01,timelimit,timelimit
neos-934278,6.0,3600.23,3600.01,timelimit,timelimit
neos-934278,7.0,3600.0,3600.0,timelimit,timelimit
