Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aligninq,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,16088.15,1335.16,22603.02,318.58,14519.68,8649.81,1345.84,1571.42,6555.29,9288.46,1212.99,4584.79,16115.01,15625.78
aligninq,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,5783.35,1045.86,322.63,473.98,12721.84,324.49,1050.01,4150.28,5737.05,7599.62,88.07,15384.19,5839.15,5790.18
aligninq,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,793.55,1152.61,311.52,600.13,7392.77,322.07,1135.58,1575.53,767.71,801.37,84.99,3072.25,803.78,809.18
aligninq,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,60.33,893.32,171.2,573.62,4714.66,175.78,889.94,1610.9,65.97,55.23,700.82,1601.34,62.25,48.0
app1-2,0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,43405.48,60005.0,44351.72,59474.36,54962.44,44410.71,60001.0,60007.0,43135.68,45822.66,45645.39,55104.52,41720.41,42477.91
app1-2,1,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,60004.0,50738.28,45250.29,60000.0,60066.0,60010.0,60006.0,50950.42,60010.0,43693.89,44784.9,60228.0,55350.85,45315.91
app1-2,2,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,43719.73,53554.93,43816.58,60003.0,54994.7,44255.35,60006.0,54687.75,43819.18,43084.17,45132.45,54966.39,40685.48,42188.09
app1-2,3,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,42726.64,60003.0,43740.94,60004.0,54960.93,43648.73,60007.0,60003.0,43140.77,43675.89,45990.94,54737.94,41632.98,42191.3
app1-2,4,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,60005.0,60006.0,45340.67,59024.87,60470.0,60003.0,60013.0,60008.0,60006.0,59639.16,51047.07,60276.0,60006.0,43878.94
arki001,0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,2320.9,41548.75,301.69,20313.1,8748.85,2236.85,60000.0,11287.17,999.65,1232.15,213.13,1913.5,1619.7,896.86
arki001,1,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,1316.2,40557.09,172.14,50540.57,5687.02,1071.82,50330.58,29663.29,1193.56,1520.75,218.76,1512.87,947.55,1951.88
arki001,2,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,1552.21,46793.72,205.26,52702.17,3074.79,1916.86,34837.83,9215.84,1730.56,1080.48,289.26,1851.95,1480.94,1440.54
arki001,3,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,1292.09,52854.88,262.83,51724.77,6576.25,2207.84,59266.62,40599.53,1124.82,1768.9,194.07,1323.14,1039.21,1216.65
arki001,4,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,1138.97,30403.9,184.95,60000.0,5834.35,690.46,41574.53,5340.51,1309.0,3007.73,181.63,2132.51,1039.01,2002.1
ash608gpia-3col,0,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,60000.0,60000.0,60000.0,60000.0,60001.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
