Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app1-2,0,600.03,600.05,600.08,600.0,601.6,600.05,600.01,600.07,600.05,600.04,600.01,602.69,600.05,600.07,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
app1-2,1,600.04,600.06,600.03,600.0,600.66,600.1,600.06,600.06,600.1,600.05,600.0,602.28,600.03,600.01,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
app1-2,2,600.08,600.09,600.09,600.03,601.04,600.05,600.06,600.06,600.03,600.09,600.02,600.97,600.01,600.06,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
app1-2,3,600.11,600.03,600.04,600.04,600.28,600.05,600.07,600.03,600.15,600.05,600.03,600.08,600.04,600.02,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
app1-2,4,600.05,600.06,600.01,600.24,604.7,600.03,600.13,600.08,600.06,600.01,600.01,602.76,600.06,600.03,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
arki001,0,600.0,600.0,600.0,600.0,603.29,600.0,600.0,600.0,600.0,600.01,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
arki001,1,600.0,600.0,600.01,600.0,603.38,600.01,600.0,600.0,600.0,600.01,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
arki001,2,600.0,600.0,600.0,600.01,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
arki001,3,600.0,600.0,600.0,600.0,600.04,600.01,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
arki001,4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
